o1,o2,o3,o4,o5,o6,o7,o8,o9,o10,o11,o12,o13,o14,o15,o16,o17,o18,o19,o20,o21,o22,o23,o24,o25,o26,o27,o28,o29,o30,output
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,1,11,26,0.52
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,1,11,26,25,0.54
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,1,11,26,25,9,0.5
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,1,11,26,25,9,8,0.45
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,1,11,26,25,9,8,28,0.51
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,1,11,26,25,9,8,28,24,0.5
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,1,11,26,25,9,8,28,24,7,0.45
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,1,11,26,25,9,8,28,24,7,22,0.48
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,1,11,26,25,9,8,28,24,7,22,6,0.47
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,1,11,26,25,9,8,28,24,7,22,6,30,0.46
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,1,11,26,25,9,8,28,24,7,22,6,30,20,0.45
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,1,11,26,25,9,8,28,24,7,22,6,30,20,12,0.49
0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,1,11,26,25,9,8,28,24,7,22,6,30,20,12,16,0.53
0,0,0,0,0,0,0,0,0,0,0,0,0,23,1,11,26,25,9,8,28,24,7,22,6,30,20,12,16,2,0.51
0,0,0,0,0,0,0,0,0,0,0,0,23,1,11,26,25,9,8,28,24,7,22,6,30,20,12,16,2,5,0.53
0,0,0,0,0,0,0,0,0,0,0,23,1,11,26,25,9,8,28,24,7,22,6,30,20,12,16,2,5,18,0.42
0,0,0,0,0,0,0,0,0,0,23,1,11,26,25,9,8,28,24,7,22,6,30,20,12,16,2,5,18,10,0.43
0,0,0,0,0,0,0,0,0,23,1,11,26,25,9,8,28,24,7,22,6,30,20,12,16,2,5,18,10,13,0.61
0,0,0,0,0,0,0,0,23,1,11,26,25,9,8,28,24,7,22,6,30,20,12,16,2,5,18,10,13,29,0.56
0,0,0,0,0,0,0,23,1,11,26,25,9,8,28,24,7,22,6,30,20,12,16,2,5,18,10,13,29,14,0.5700000000000001
0,0,0,0,0,0,23,1,11,26,25,9,8,28,24,7,22,6,30,20,12,16,2,5,18,10,13,29,14,15,0.43
0,0,0,0,0,23,1,11,26,25,9,8,28,24,7,22,6,30,20,12,16,2,5,18,10,13,29,14,15,17,0.41000000000000003
0,0,0,0,23,1,11,26,25,9,8,28,24,7,22,6,30,20,12,16,2,5,18,10,13,29,14,15,17,21,0.37
0,0,0,23,1,11,26,25,9,8,28,24,7,22,6,30,20,12,16,2,5,18,10,13,29,14,15,17,21,19,0.64
0,0,23,1,11,26,25,9,8,28,24,7,22,6,30,20,12,16,2,5,18,10,13,29,14,15,17,21,19,27,0.46
0,23,1,11,26,25,9,8,28,24,7,22,6,30,20,12,16,2,5,18,10,13,29,14,15,17,21,19,27,3,0.5
23,1,11,26,25,9,8,28,24,7,22,6,30,20,12,16,2,5,18,10,13,29,14,15,17,21,19,27,3,4,0.13
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,22,0.5
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,22,24,0.5
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,22,24,13,0.53
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,22,24,13,19,0.55
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,22,24,13,19,28,0.54
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,22,24,13,19,28,25,0.59
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,22,24,13,19,28,25,11,0.49
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,22,24,13,19,28,25,11,27,0.52
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,22,24,13,19,28,25,11,27,2,0.52
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,22,24,13,19,28,25,11,27,2,9,0.45
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,22,24,13,19,28,25,11,27,2,9,6,0.5
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,22,24,13,19,28,25,11,27,2,9,6,10,0.45
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,22,24,13,19,28,25,11,27,2,9,6,10,14,0.48
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,22,24,13,19,28,25,11,27,2,9,6,10,14,21,0.33999999999999997
0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,22,24,13,19,28,25,11,27,2,9,6,10,14,21,17,0.5
0,0,0,0,0,0,0,0,0,0,0,0,0,1,22,24,13,19,28,25,11,27,2,9,6,10,14,21,17,20,0.43
0,0,0,0,0,0,0,0,0,0,0,0,1,22,24,13,19,28,25,11,27,2,9,6,10,14,21,17,20,29,0.55
0,0,0,0,0,0,0,0,0,0,0,1,22,24,13,19,28,25,11,27,2,9,6,10,14,21,17,20,29,7,0.44
0,0,0,0,0,0,0,0,0,0,1,22,24,13,19,28,25,11,27,2,9,6,10,14,21,17,20,29,7,23,0.46
0,0,0,0,0,0,0,0,0,1,22,24,13,19,28,25,11,27,2,9,6,10,14,21,17,20,29,7,23,15,0.43
0,0,0,0,0,0,0,0,1,22,24,13,19,28,25,11,27,2,9,6,10,14,21,17,20,29,7,23,15,16,0.47000000000000003
0,0,0,0,0,0,0,1,22,24,13,19,28,25,11,27,2,9,6,10,14,21,17,20,29,7,23,15,16,30,0.34
0,0,0,0,0,0,1,22,24,13,19,28,25,11,27,2,9,6,10,14,21,17,20,29,7,23,15,16,30,5,0.48
0,0,0,0,0,1,22,24,13,19,28,25,11,27,2,9,6,10,14,21,17,20,29,7,23,15,16,30,5,4,0.17000000000000004
0,0,0,0,1,22,24,13,19,28,25,11,27,2,9,6,10,14,21,17,20,29,7,23,15,16,30,5,4,26,0.66
0,0,0,1,22,24,13,19,28,25,11,27,2,9,6,10,14,21,17,20,29,7,23,15,16,30,5,4,26,3,0.49
0,0,1,22,24,13,19,28,25,11,27,2,9,6,10,14,21,17,20,29,7,23,15,16,30,5,4,26,3,8,0.48
0,1,22,24,13,19,28,25,11,27,2,9,6,10,14,21,17,20,29,7,23,15,16,30,5,4,26,3,8,18,0.42
1,22,24,13,19,28,25,11,27,2,9,6,10,14,21,17,20,29,7,23,15,16,30,5,4,26,3,8,18,12,0.52
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,0.5
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,21,0.5
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,21,7,0.5
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,21,7,8,0.52
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,21,7,8,11,0.5
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,21,7,8,11,17,0.45
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,21,7,8,11,17,15,0.47
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,21,7,8,11,17,15,19,0.51
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,21,7,8,11,17,15,19,26,0.53
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,21,7,8,11,17,15,19,26,9,0.49
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,21,7,8,11,17,15,19,26,9,16,0.55
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,21,7,8,11,17,15,19,26,9,16,12,0.48
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,21,7,8,11,17,15,19,26,9,16,12,22,0.41000000000000003
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,21,7,8,11,17,15,19,26,9,16,12,22,30,0.39
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,21,7,8,11,17,15,19,26,9,16,12,22,30,2,0.43
0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,21,7,8,11,17,15,19,26,9,16,12,22,30,2,5,0.49
0,0,0,0,0,0,0,0,0,0,0,0,0,24,21,7,8,11,17,15,19,26,9,16,12,22,30,2,5,28,0.53
0,0,0,0,0,0,0,0,0,0,0,0,24,21,7,8,11,17,15,19,26,9,16,12,22,30,2,5,28,13,0.64
0,0,0,0,0,0,0,0,0,0,0,24,21,7,8,11,17,15,19,26,9,16,12,22,30,2,5,28,13,23,0.42
0,0,0,0,0,0,0,0,0,0,24,21,7,8,11,17,15,19,26,9,16,12,22,30,2,5,28,13,23,10,0.38
0,0,0,0,0,0,0,0,0,24,21,7,8,11,17,15,19,26,9,16,12,22,30,2,5,28,13,23,10,3,0.39
0,0,0,0,0,0,0,0,24,21,7,8,11,17,15,19,26,9,16,12,22,30,2,5,28,13,23,10,3,6,0.49
0,0,0,0,0,0,0,24,21,7,8,11,17,15,19,26,9,16,12,22,30,2,5,28,13,23,10,3,6,4,0.2
0,0,0,0,0,0,24,21,7,8,11,17,15,19,26,9,16,12,22,30,2,5,28,13,23,10,3,6,4,18,0.42
0,0,0,0,0,24,21,7,8,11,17,15,19,26,9,16,12,22,30,2,5,28,13,23,10,3,6,4,18,14,0.53
0,0,0,0,24,21,7,8,11,17,15,19,26,9,16,12,22,30,2,5,28,13,23,10,3,6,4,18,14,1,0.42000000000000004
0,0,0,24,21,7,8,11,17,15,19,26,9,16,12,22,30,2,5,28,13,23,10,3,6,4,18,14,1,29,0.6
0,0,24,21,7,8,11,17,15,19,26,9,16,12,22,30,2,5,28,13,23,10,3,6,4,18,14,1,29,27,0.42
0,24,21,7,8,11,17,15,19,26,9,16,12,22,30,2,5,28,13,23,10,3,6,4,18,14,1,29,27,25,0.53
24,21,7,8,11,17,15,19,26,9,16,12,22,30,2,5,28,13,23,10,3,6,4,18,14,1,29,27,25,20,0.45
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0.5
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,25,0.5
